ENTRY,ENTRY_CATEGORY,LOCATION,REP,RESP,COV
"MON201008,MON101065,MON101082,MON101068",TEST,ARJO,1,172.1856,5.7
"MON201007,MON101065,MON101082,MON101068",TEST,ARJO,1,151.6791,5.7
"MON201006,MON101065,MON101082,MON101068",TEST,ARJO,1,155.4356,5.7
"MON201005,MON101065,MON101082,MON101068",TEST,ARJO,1,160.6556,5.7
"MON201004,MON101065,MON101082,MON101068",TEST,ARJO,1,183.5093,5.7
"MON201003,MON101065,MON101082,MON101068",TEST,ARJO,1,180.1908,5.7
"MON201002,MON101065,MON101082,MON101068",TEST,ARJO,1,145.4424,5.7
"MON201001,MON101065,MON101082,MON101068",TEST,ARJO,1,153.8441,5.7
MON101066,COMM,ARJO,1,163.9674,5.7
"MON101065,MON101066,MON101068,MON101082",TEST,ARJO,1,177.5032,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,169.1341,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,186.1006,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,167.3472,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,147.5808,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,184.5465,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,180.7889,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,184.7495,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,179.7198,5.7
"MON201170,MON101065,MON101082,MON101068",TEST,ARJO,1,178.4174,5.7
"MON201169,MON101065,MON101082,MON101068",TEST,ARJO,1,171.8086,5.7
"MON201165,MON101065,MON101082,MON101068",TEST,ARJO,1,181.3429,5.7
"MON201154,MON101065,MON101082,MON101068",TEST,ARJO,1,169.2896,5.7
"MON201150,MON101065,MON101082,MON101068",TEST,ARJO,1,177.8189,5.7
"MON201148,MON101065,MON101082,MON101068",TEST,ARJO,1,186.056,5.7
"MON201147,MON101065,MON101082,MON101068",TEST,ARJO,1,164.3016,5.7
"MON201162,MON101065,MON101082,MON101068",TEST,ARJO,1,184.0738,5.7
"MON201145,MON101065,MON101082,MON101068",TEST,ARJO,1,175.0833,5.7
"MON201161,MON101065,MON101082,MON101068",TEST,ARJO,1,170.7541,5.7
"MON201159,MON101065,MON101082,MON101068",TEST,ARJO,1,194.97,5.7
"MON201158,MON101065,MON101082,MON101068",TEST,ARJO,1,187.9959,5.7
"MON201144,MON101065,MON101082,MON101068",TEST,ARJO,1,179.3662,5.7
"MON201155,MON101065,MON101082,MON101068",TEST,ARJO,1,164.3872,5.7
"MON201141,MON101065,MON101082,MON101068",TEST,ARJO,1,197.9025,5.7
"MON201139,MON101065,MON101082,MON101068",TEST,ARJO,1,168.7317,5.7
"MON201137,MON101065,MON101082,MON101068",TEST,ARJO,1,171.0459,5.7
"MON201136,MON101065,MON101082,MON101068",TEST,ARJO,1,181.8526,5.7
"MON201131,MON101065,MON101082,MON101068",TEST,ARJO,1,189.9129,5.7
"MON201130,MON101065,MON101082,MON101068",TEST,ARJO,1,185.5406,5.7
"MON201127,MON101065,MON101082,MON101068",TEST,ARJO,1,172.3064,5.7
"MON201125,MON101065,MON101082,MON101068",TEST,ARJO,1,178.6236,5.7
"MON201123,MON101065,MON101082,MON101068",TEST,ARJO,1,174.0394,5.7
"MON201122,MON101065,MON101082,MON101068",TEST,ARJO,1,189.5935,5.7
"MON201121,MON101065,MON101082,MON101068",TEST,ARJO,1,186.1129,5.7
"MON201111,MON101065,MON101082,MON101068",TEST,ARJO,1,176.6644,5.7
"MON201120,MON101065,MON101082,MON101068",TEST,ARJO,1,177.7469,5.7
"MON201110,MON101065,MON101082,MON101068",TEST,ARJO,1,182.7182,5.7
"MON201108,MON101065,MON101082,MON101068",TEST,ARJO,1,174.1519,5.7
"MON201117,MON101065,MON101082,MON101068",TEST,ARJO,1,150.969,5.7
"MON201116,MON101065,MON101082,MON101068",TEST,ARJO,1,164.3075,5.7
"MON201103,MON101065,MON101082,MON101068",TEST,ARJO,1,182.4407,5.7
"MON201101,MON101065,MON101082,MON101068",TEST,ARJO,1,162.4728,5.7
"MON201100,MON101065,MON101082,MON101068",TEST,ARJO,1,177.3046,5.7
"MON201099,MON101065,MON101082,MON101068",TEST,ARJO,1,180.5804,5.7
"MON201095,MON101065,MON101082,MON101068",TEST,ARJO,1,184.6245,5.7
"MON201092,MON101065,MON101082,MON101068",TEST,ARJO,1,178.45,5.7
"MON201090,MON101065,MON101082,MON101068",TEST,ARJO,1,176.3747,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,186.7813,5.7
"MON201088,MON101065,MON101082,MON101068",TEST,ARJO,1,171.0402,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,184.8325,5.7
"MON201087,MON101065,MON101082,MON101068",TEST,ARJO,1,184.0679,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,177.5696,5.7
MON101066,COMM,ARJO,1,167.8484,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,179.5987,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,188.6774,5.7
"MON201164,MON101065,MON101082,MON101068",TEST,ARJO,1,184.4164,5.7
"MON201149,MON101065,MON101082,MON101068",TEST,ARJO,1,167.1844,5.7
"MON201163,MON101065,MON101082,MON101068",TEST,ARJO,1,182.6311,5.7
"MON201151,MON101065,MON101082,MON101068",TEST,ARJO,1,175.8719,5.7
"MON201166,MON101065,MON101082,MON101068",TEST,ARJO,1,170.7066,5.7
"MON201153,MON101065,MON101082,MON101068",TEST,ARJO,1,196.7876,5.7
"MON201167,MON101065,MON101082,MON101068",TEST,ARJO,1,188.405,5.7
"MON201168,MON101065,MON101082,MON101068",TEST,ARJO,1,170.9019,5.7
"MON201160,MON101065,MON101082,MON101068",TEST,ARJO,1,172.5195,5.7
"MON201152,MON101065,MON101082,MON101068",TEST,ARJO,1,172.3672,5.7
"MON201172,MON101065,MON101082,MON101068",TEST,ARJO,1,176.1677,5.7
"MON201171,MON101065,MON101082,MON101068",TEST,ARJO,1,172.9211,5.7
"MON101065,MON101068,MON101082,MON101149",TEST,ARJO,1,184.0147,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,175.0022,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,189.5688,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,164.9987,5.7
"MON201091,MON101065,MON101082,MON101068",TEST,ARJO,1,153.6126,5.7
"MON201093,MON101065,MON101082,MON101068",TEST,ARJO,1,189.3699,5.7
"MON201096,MON101065,MON101082,MON101068",TEST,ARJO,1,164.3766,5.7
"MON201097,MON101065,MON101082,MON101068",TEST,ARJO,1,177.5518,5.7
"MON201098,MON101065,MON101082,MON101068",TEST,ARJO,1,184.1792,5.7
"MON201102,MON101065,MON101082,MON101068",TEST,ARJO,1,186.777,5.7
"MON201089,MON101065,MON101082,MON101068",TEST,ARJO,1,167.0943,5.7
"MON201104,MON101065,MON101082,MON101068",TEST,ARJO,1,172.4492,5.7
"MON201115,MON101065,MON101082,MON101068",TEST,ARJO,1,169.5679,5.7
"MON201106,MON101065,MON101082,MON101068",TEST,ARJO,1,184.1875,5.7
"MON201107,MON101065,MON101082,MON101068",TEST,ARJO,1,185.2502,5.7
"MON201118,MON101065,MON101082,MON101068",TEST,ARJO,1,194.2828,5.7
"MON201109,MON101065,MON101082,MON101068",TEST,ARJO,1,181.6478,5.7
"MON201119,MON101065,MON101082,MON101068",TEST,ARJO,1,204.2693,5.7
"MON201105,MON101065,MON101082,MON101068",TEST,ARJO,1,165.0123,5.7
"MON201112,MON101065,MON101082,MON101068",TEST,ARJO,1,177.6264,5.7
"MON201124,MON101065,MON101082,MON101068",TEST,ARJO,1,177.8241,5.7
"MON201126,MON101065,MON101082,MON101068",TEST,ARJO,1,184.97,5.7
"MON201128,MON101065,MON101082,MON101068",TEST,ARJO,1,174.074,5.7
"MON201135,MON101065,MON101082,MON101068",TEST,ARJO,1,164.701,5.7
"MON201129,MON101065,MON101082,MON101068",TEST,ARJO,1,178.5078,5.7
"MON201132,MON101065,MON101082,MON101068",TEST,ARJO,1,174.0194,5.7
"MON201114,MON101065,MON101082,MON101068",TEST,ARJO,1,185.3722,5.7
"MON201133,MON101065,MON101082,MON101068",TEST,ARJO,1,171.5683,5.7
"MON201134,MON101065,MON101082,MON101068",TEST,ARJO,1,171.9838,5.7
"MON201140,MON101065,MON101082,MON101068",TEST,ARJO,1,174.3079,5.7
"MON201142,MON101065,MON101082,MON101068",TEST,ARJO,1,174.8526,5.7
"MON201143,MON101065,MON101082,MON101068",TEST,ARJO,1,181.7823,5.7
"MON201156,MON101065,MON101082,MON101068",TEST,ARJO,1,189.3906,5.7
"MON201157,MON101065,MON101082,MON101068",TEST,ARJO,1,164.9927,5.7
"MON201138,MON101065,MON101082,MON101068",TEST,ARJO,1,178.2131,5.7
"MON201113,MON101065,MON101082,MON101068",TEST,ARJO,1,169.6564,5.7
"MON201258,MON101065,MON101082,MON101068",TEST,ARJO,1,179.1751,5.7
"MON201257,MON101065,MON101082,MON101068",TEST,ARJO,1,165.9254,5.7
"MON201256,MON101065,MON101082,MON101068",TEST,ARJO,1,172.035,5.7
"MON201255,MON101065,MON101082,MON101068",TEST,ARJO,1,168.2332,5.7
"MON201254,MON101065,MON101082,MON101068",TEST,ARJO,1,158.5217,5.7
"MON201253,MON101065,MON101082,MON101068",TEST,ARJO,1,166.1379,5.7
"MON201252,MON101065,MON101082,MON101068",TEST,ARJO,1,150.5016,5.7
"MON201250,MON101065,MON101082,MON101068",TEST,ARJO,1,172.5541,5.7
"MON201249,MON101065,MON101082,MON101068",TEST,ARJO,1,163.8051,5.7
"MON201248,MON101065,MON101082,MON101068",TEST,ARJO,1,163.4476,5.7
"MON201246,MON101065,MON101082,MON101068",TEST,ARJO,1,164.664,5.7
"MON201245,MON101065,MON101082,MON101068",TEST,ARJO,1,171.072,5.7
"MON201233,MON101065,MON101082,MON101068",TEST,ARJO,1,182.6875,5.7
"MON201232,MON101065,MON101082,MON101068",TEST,ARJO,1,145.4601,5.7
"MON201231,MON101065,MON101082,MON101068",TEST,ARJO,1,163.2203,5.7
"MON201230,MON101065,MON101082,MON101068",TEST,ARJO,1,178.1013,5.7
"MON201229,MON101065,MON101082,MON101068",TEST,ARJO,1,180.4028,5.7
"MON201228,MON101065,MON101082,MON101068",TEST,ARJO,1,164.8725,5.7
"MON201227,MON101065,MON101082,MON101068",TEST,ARJO,1,181.4605,5.7
"MON201226,MON101065,MON101082,MON101068",TEST,ARJO,1,158.8044,5.7
"MON201225,MON101065,MON101082,MON101068",TEST,ARJO,1,170.6906,5.7
"MON201214,MON101065,MON101082,MON101068",TEST,ARJO,1,160.9336,5.7
"MON201212,MON101065,MON101082,MON101068",TEST,ARJO,1,177.4043,5.7
"MON201211,MON101065,MON101082,MON101068",TEST,ARJO,1,190.5388,5.7
"MON201210,MON101065,MON101082,MON101068",TEST,ARJO,1,167.1919,5.7
"MON201208,MON101065,MON101082,MON101068",TEST,ARJO,1,162.4033,5.7
"MON201207,MON101065,MON101082,MON101068",TEST,ARJO,1,180.4041,5.7
"MON201206,MON101065,MON101082,MON101068",TEST,ARJO,1,176.26,5.7
"MON201205,MON101065,MON101082,MON101068",TEST,ARJO,1,175.0022,5.7
"MON201244,MON101065,MON101082,MON101068",TEST,ARJO,1,160.8688,5.7
"MON201243,MON101065,MON101082,MON101068",TEST,ARJO,1,147.8022,5.7
"MON201242,MON101065,MON101082,MON101068",TEST,ARJO,1,168.6799,5.7
"MON201241,MON101065,MON101082,MON101068",TEST,ARJO,1,173.2687,5.7
"MON201240,MON101065,MON101082,MON101068",TEST,ARJO,1,158.228,5.7
"MON201238,MON101065,MON101082,MON101068",TEST,ARJO,1,165.2784,5.7
"MON201237,MON101065,MON101082,MON101068",TEST,ARJO,1,171.7075,5.7
"MON201236,MON101065,MON101082,MON101068",TEST,ARJO,1,175.6761,5.7
"MON201235,MON101065,MON101082,MON101068",TEST,ARJO,1,164.6305,5.7
"MON201224,MON101065,MON101082,MON101068",TEST,ARJO,1,166.4705,5.7
"MON201223,MON101065,MON101082,MON101068",TEST,ARJO,1,146.1078,5.7
"MON201222,MON101065,MON101082,MON101068",TEST,ARJO,1,152.6475,5.7
"MON201221,MON101065,MON101082,MON101068",TEST,ARJO,1,176.4427,5.7
"MON201220,MON101065,MON101082,MON101068",TEST,ARJO,1,193.2298,5.7
"MON201219,MON101065,MON101082,MON101068",TEST,ARJO,1,169.387,5.7
"MON201218,MON101065,MON101082,MON101068",TEST,ARJO,1,183.1065,5.7
"MON201217,MON101065,MON101082,MON101068",TEST,ARJO,1,153.8375,5.7
"MON201216,MON101065,MON101082,MON101068",TEST,ARJO,1,154.734,5.7
"MON201215,MON101065,MON101082,MON101068",TEST,ARJO,1,147.1476,5.7
"MON201204,MON101065,MON101082,MON101068",TEST,ARJO,1,173.3841,5.7
"MON201203,MON101065,MON101082,MON101068",TEST,ARJO,1,153.8038,5.7
"MON201202,MON101065,MON101082,MON101068",TEST,ARJO,1,161.359,5.7
"MON201201,MON101065,MON101082,MON101068",TEST,ARJO,1,165.7895,5.7
"MON201200,MON101065,MON101082,MON101068",TEST,ARJO,1,146.3111,5.7
"MON201199,MON101065,MON101082,MON101068",TEST,ARJO,1,172.6042,5.7
"MON201198,MON101065,MON101082,MON101068",TEST,ARJO,1,178.5859,5.7
"MON201197,MON101065,MON101082,MON101068",TEST,ARJO,1,164.9303,5.7
"MON201196,MON101065,MON101082,MON101068",TEST,ARJO,1,193.3963,5.7
"MON201195,MON101065,MON101082,MON101068",TEST,ARJO,1,183.5829,5.7
"MON201194,MON101065,MON101082,MON101068",TEST,ARJO,1,172.2768,5.7
"MON201193,MON101065,MON101082,MON101068",TEST,ARJO,1,144.5977,5.7
"MON201192,MON101065,MON101082,MON101068",TEST,ARJO,1,174.5423,5.7
"MON201191,MON101065,MON101082,MON101068",TEST,ARJO,1,159.3642,5.7
"MON201189,MON101065,MON101082,MON101068",TEST,ARJO,1,150.7903,5.7
"MON201188,MON101065,MON101082,MON101068",TEST,ARJO,1,139.2441,5.7
"MON201187,MON101065,MON101082,MON101068",TEST,ARJO,1,171.4974,5.7
"MON201186,MON101065,MON101082,MON101068",TEST,ARJO,1,172.008,5.7
"MON201185,MON101065,MON101082,MON101068",TEST,ARJO,1,178.8801,5.7
"MON201184,MON101065,MON101082,MON101068",TEST,ARJO,1,172.622,5.7
"MON201183,MON101065,MON101082,MON101068",TEST,ARJO,1,175.9615,5.7
"MON201182,MON101065,MON101082,MON101068",TEST,ARJO,1,171.9218,5.7
"MON201181,MON101065,MON101082,MON101068",TEST,ARJO,1,171.6503,5.7
"MON201180,MON101065,MON101082,MON101068",TEST,ARJO,1,163.6229,5.7
"MON201179,MON101065,MON101082,MON101068",TEST,ARJO,1,153.7031,5.7
"MON201178,MON101065,MON101082,MON101068",TEST,ARJO,1,163.1906,5.7
"MON201177,MON101065,MON101082,MON101068",TEST,ARJO,1,164.6287,5.7
"MON201176,MON101065,MON101082,MON101068",TEST,ARJO,1,163.5496,5.7
"MON201175,MON101065,MON101082,MON101068",TEST,ARJO,1,186.38,5.7
"MON201174,MON101065,MON101082,MON101068",TEST,ARJO,1,158.9023,5.7
"MON201173,MON101065,MON101082,MON101068",TEST,ARJO,1,176.2757,5.7
MON101066,COMM,ARJO,1,195.0454,5.7
MON101149,TEST,ARJO,1,178.1029,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,174.3465,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,170.2205,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,181.2046,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,150.0696,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,153.7357,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,177.0345,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,163.7319,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,142.3201,5.7
"MON201287,MON101065,MON101082,MON101068",TEST,ARJO,1,164.0869,5.7
"MON201286,MON101065,MON101082,MON101068",TEST,ARJO,1,164.5879,5.7
"MON201285,MON101065,MON101082,MON101068",TEST,ARJO,1,166.9854,5.7
"MON201274,MON101065,MON101082,MON101068",TEST,ARJO,1,162.8374,5.7
"MON201273,MON101065,MON101082,MON101068",TEST,ARJO,1,189.3399,5.7
"MON201272,MON101065,MON101082,MON101068",TEST,ARJO,1,164.4363,5.7
"MON201271,MON101065,MON101082,MON101068",TEST,ARJO,1,191.4964,5.7
"MON201270,MON101065,MON101082,MON101068",TEST,ARJO,1,163.2641,5.7
"MON201269,MON101065,MON101082,MON101068",TEST,ARJO,1,198.5185,5.7
"MON201268,MON101065,MON101082,MON101068",TEST,ARJO,1,181.5817,5.7
"MON201267,MON101065,MON101082,MON101068",TEST,ARJO,1,167.7737,5.7
"MON201266,MON101065,MON101082,MON101068",TEST,ARJO,1,168.2742,5.7
"MON201265,MON101065,MON101082,MON101068",TEST,ARJO,1,139.7781,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,176.9099,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,173.7935,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,164.8372,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,160.7696,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,170.4378,5.7
"MON101065,MON101082,MON101068",CONTROL,ARJO,1,151.1544,5.7
"MON201343,MON101065,MON101082,MON101068",TEST,ARJO,1,158.259,5.7
"MON201344,MON101065,MON101082,MON101068",TEST,ARJO,1,150.4893,5.7
"MON201345,MON101065,MON101082,MON101068",TEST,ARJO,1,171.7223,5.7
"MON201346,MON101065,MON101082,MON101068",TEST,ARJO,1,180.6855,5.7
"MON201347,MON101065,MON101082,MON101068",TEST,ARJO,1,167.1097,5.7
"MON201348,MON101065,MON101082,MON101068",TEST,ARJO,1,182.4937,5.7
"MON201349,MON101065,MON101082,MON101068",TEST,ARJO,1,193.2946,5.7
"MON201350,MON101065,MON101082,MON101068",TEST,ARJO,1,155.8914,5.7
"MON201351,MON101065,MON101082,MON101068",TEST,ARJO,1,168.1895,5.7
"MON201352,MON101065,MON101082,MON101068",TEST,ARJO,1,144.7609,5.7
"MON201324,MON101065,MON101082,MON101068",TEST,ARJO,1,158.7812,5.7
"MON201323,MON101065,MON101082,MON101068",TEST,ARJO,1,169.0535,5.7
"MON201322,MON101065,MON101082,MON101068",TEST,ARJO,1,153.1864,5.7
"MON201321,MON101065,MON101082,MON101068",TEST,ARJO,1,146.8935,5.7
"MON201320,MON101065,MON101082,MON101068",TEST,ARJO,1,156.8705,5.7
"MON201319,MON101065,MON101082,MON101068",TEST,ARJO,1,179.222,5.7
"MON201318,MON101065,MON101082,MON101068",TEST,ARJO,1,166.4107,5.7
"MON201317,MON101065,MON101082,MON101068",TEST,ARJO,1,154.5216,5.7
"MON201316,MON101065,MON101082,MON101068",TEST,ARJO,1,186.2587,5.7
"MON201315,MON101065,MON101082,MON101068",TEST,ARJO,1,160.3288,5.7
"MON201304,MON101065,MON101082,MON101068",TEST,ARJO,1,169.4076,5.7
"MON201303,MON101065,MON101082,MON101068",TEST,ARJO,1,141.2531,5.7
"MON201302,MON101065,MON101082,MON101068",TEST,ARJO,1,170.8649,5.7
"MON201301,MON101065,MON101082,MON101068",TEST,ARJO,1,174.1083,5.7
"MON201300,MON101065,MON101082,MON101068",TEST,ARJO,1,160.0081,5.7
"MON201299,MON101065,MON101082,MON101068",TEST,ARJO,1,182.3869,5.7
"MON201298,MON101065,MON101082,MON101068",TEST,ARJO,1,180.9541,5.7
"MON201297,MON101065,MON101082,MON101068",TEST,ARJO,1,140.4967,5.7
"MON201296,MON101065,MON101082,MON101068",TEST,ARJO,1,166.9453,5.7
"MON201295,MON101065,MON101082,MON101068",TEST,ARJO,1,171.2102,5.7
"MON201284,MON101065,MON101082,MON101068",TEST,ARJO,1,167.2499,5.7
"MON201283,MON101065,MON101082,MON101068",TEST,ARJO,1,159.3367,5.7
"MON201282,MON101065,MON101082,MON101068",TEST,ARJO,1,158.8446,5.7
"MON201281,MON101065,MON101082,MON101068",TEST,ARJO,1,138.9092,5.7
"MON201280,MON101065,MON101082,MON101068",TEST,ARJO,1,162.857,5.7
"MON201279,MON101065,MON101082,MON101068",TEST,ARJO,1,169.9607,5.7
"MON201278,MON101065,MON101082,MON101068",TEST,ARJO,1,197.8538,5.7
"MON201277,MON101065,MON101082,MON101068",TEST,ARJO,1,153.7911,5.7
"MON201276,MON101065,MON101082,MON101068",TEST,ARJO,1,182.1893,5.7
"MON201264,MON101065,MON101082,MON101068",TEST,ARJO,1,157.5998,5.7
"MON201263,MON101065,MON101082,MON101068",TEST,ARJO,1,177.436,5.7
"MON201262,MON101065,MON101082,MON101068",TEST,ARJO,1,157.5182,5.7
"MON201261,MON101065,MON101082,MON101068",TEST,ARJO,1,189.9164,5.7
"MON201260,MON101065,MON101082,MON101068",TEST,ARJO,1,154.6986,5.7
"MON201259,MON101065,MON101082,MON101068",TEST,ARJO,1,175.4248,5.7
MON101066,COMM,ARJO,1,162.5154,5.7
